Years,Biomass,Coal,Geothermal,Hydro,Natural Gas,Oil-based,Solar,Wind,Grand Total
1990,0,1934,5466,6062,0,12434,0,0,25896
1991,0,1942,5758,5145,0,12804,0,0,25649
1992,0,1791,5700,4440,0,13939,0,0,25870
1993,0,2015,5667,5030,0,13867,0,0,26579
1994,0,1348,6320,5862,0,16929,0,0,30459
1995,0,2109,6135,6232,0,19078,0,0,33554
1996,0,4855,6534,7030,0,18288,0,0,36708
1997,0,7363,7237,6069,12,19116,0,0,39797
1998,0,9388,8914,5084,20,18174,0,0,41579
1999,0,11183,10594,7840,16,11799,0,0,41432
2000,0,16663,11626,7799,17,9185,0,0,45290
2001,0,18789,10442,7104,848,9858,0,0,47040
2002,0,16128,10242,7033,8771,6293,0,0,48467
2003,0,14939,9822,7870,13139,7170,0,0,52941
2004,0,16194,10282,8593,12384,8504,0,0,55957
2005,0,15257,9902,8387,16861,6141,2,17,56568
2006,0,15294,10465,9939,16366,4665,1,53,56784
2007,0,16837,10215,8563,18789,5148,1,58,59612
2008,0,15749,10723,9843,19576,4868,1,61,60821
2009,14,16476,10324,9788,19887,5381,1,64,61934
2010,27,23301,9929,7803,19518,7101,1,62,67743
2011,115,25342,9942,9698,20591,3398,1,88,69176
2012,183,28265,10250,10252,19642,4254,1,75,72922
2013,212,32081,9605,10019,18791,4491,1,66,75266
2014,196,33054,10308,9137,18690,5708,17,152,77261
2015,367,36686,11044,8665,18878,5886,139,748,82413
2016,726,43303,11070,8111,19854,5661,1097,975,90798
2017,1013,46847,10270,9611,20547,3787,1201,1094,94370
2018,1105,51932,10435,9384,21334,3173,1249,1153,99765
2019,1040,57890,10691,8025,22354,3752,1246,1042,106041
2020,1261,58176,10757,7192,19497,2474,1373,1026,101756
